Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,,0000821189,/wiki/EOG_Resources
EQT,EQT Corporation,reports,Energy,Oil & Gas Exploration & Production,Pittsburgh, Pennsylvania,2008-12-19,0000033213,/wiki/EQT_Corporation
EFX,Equifax Inc.,reports,Financials,Diversified Financial Services,Atlanta, Georgia,,0000033185,/wiki/Equifax_Inc.
EQIX,Equinix,reports,Information Technology,Internet Software & Services,Redwood City, California,2015-03-20,0001101239,/wiki/Equinix
EQR,Equity Residential,reports,Financials,REITs,Chicago, Illinois,,0000906107,/wiki/Equity_Residential
ESS,Essex Property Trust Inc,reports,Financials,Residential REITs,Palo Alto, California,2014-04-02,0000920522,/w/index.php?title=Essex_Property_Trust_Inc&action=edit&redlink=1
EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,New York, New York,,0001001250,/wiki/Estee_Lauder_Cos.
ES,Eversource Energy,reports,Utilities,MultiUtilities,Springfield, Massachusetts,,0000072741,/wiki/Eversource_Energy
EXC,Exelon Corp.,reports,Utilities,MultiUtilities,Chicago, Illinois,,0001109357,/wiki/Exelon_Corp.
EXPE,Expedia Inc.,reports,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Bellevue, Washington,2007-10-02,0001324424,/wiki/Expedia_Inc.
EXPD,Expeditors Int'l,reports,Industrials,Air Freight & Logistics,Seattle, Washington,2007-10-10,0000746515,/wiki/Expeditors_Int%27l
ESRX,Express Scripts,reports,Health Care,Health Care Distributors & Services,Cool Valley, Missouri,,0001532063,/wiki/Express_Scripts
EXR,Extra Space Storage,reports,Financials,Specialized REITs,Zurich, Switzerland,2016-01-19,0001289490,/wiki/Extra_Space_Storage
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,Irving, Texas,,0000034088,/wiki/Exxon_Mobil_Corp.
FFIV,F5 Networks,reports,Information Technology,Networking Equipment,Seattle, Washington,2010-12-20,0001048695,/wiki/F5_Networks
FB,Facebook,reports,Information Technology,Internet Software & Services,Menlo Park, California,2013-12-23,0001326801,/wiki/Facebook
FAST,Fastenal Co,reports,Industrials,Building Products,Winona, Minnesota,2009-09-15,0000815556,/wiki/Fastenal_Co
FRT,Federal Realty Investment Trust,reports,Financials,Retail REITs,Rockville, Maryland,2016-02-01,0000034903,/w/index.php?title=Federal_Realty_Investment_Trust&action=edit&redlink=1
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,Memphis, Tennessee,1980-12-31,0001048911,/wiki/FedEx_Corporation
FIS,Fidelity National Information Services,reports,Information Technology,Internet Software & Services,Jacksonville, Florida,,0001136893,/wiki/Fidelity_National_Information_Services
FITB,Fifth Third Bancorp,reports,Financials,Banks,Cincinnati, Ohio,,0000035527,/wiki/Fifth_Third_Bancorp
FSLR,First Solar Inc,reports,Information Technology,Semiconductors,Tempe, Arizona,2009-10-16,0001274494,/wiki/First_Solar_Inc
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,Akron, Ohio,,0001031296,/wiki/FirstEnergy_Corp
FISV,Fiserv Inc,reports,Information Technology,Internet Software & Services,Brookfield, Wisconsin,,0000798354,/wiki/Fiserv_Inc
FLIR,FLIR Systems,reports,Industrials,Aerospace & Defense,Wilsonville, Oregon,2009-01-02,0000354908,/wiki/FLIR_Systems
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,Irving, Texas,2008-10-02,0000030625,/wiki/Flowserve_Corporation
FLR,Fluor Corp.,reports,Industrials,Diversified Commercial Services,Irving, Texas,1980-03-31,0001124198,/wiki/Fluor_Corp.
FMC,FMC Corporation,reports,Materials,Diversified Chemicals,Philadelphia, Pennsylvania,2009-08-19,0000037785,/wiki/FMC_Corporation
FTI,FMC Technologies Inc.,reports,Energy,Oil & Gas Equipment & Services,Houston, Texas,2009-06-05,0001135152,/wiki/FMC_Technologies_Inc.
FL,Foot Locker Inc,reports,Consumer Discretionary,Apparel Retail,New York, New York,2016-04-04,0000850209,/wiki/Foot_Locker_Inc
F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,Dearborn, Michigan,,0000037996,/wiki/Ford_Motor
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,San Mateo, California,,0000038777,/wiki/Franklin_Resources
FCX,Freeport-McMoran Cp & Gld,reports,Materials,Diversified Metals & Mining,Phoenix, Arizona,,0000831259,/wiki/Freeport-McMoran_Cp_%26_Gld
FTR,Frontier Communications,reports,Telecommunications Services,Integrated Telecommunications Services,Stamford, Connecticut,,0000020520,/wiki/Frontier_Communications
GME,GameStop Corp.,reports,Consumer Discretionary,Computer & Electronics Retail,Grapevine, Texas,2007-12-14,0001326380,/wiki/GameStop_Corp.
